cond,item,layer,ent,log_T,log_I,log_F
agree,10,24,0.09498326634823977,-2.4452328430142045,-5.024264085051746,-2.6115576031182353
agree,10,25,0.11502944149619672,-2.2795712175276712,-5.015672605395071,-2.1897584148708673
agree,10,26,0.038408374546101264,-2.9463241277676597,-5.730331217905493,-2.96240500770221
agree,10,27,0.007894898535360606,-4.238689239637092,-6.8365277686064525,-4.477368206491482
agree,10,28,0.03411689814678247,-3.6051438905101625,-5.632358694919946,-3.9490075002955853
agree,10,29,0.0731173763483882,-4.034771742452829,-5.152310641917898,-4.338715445248697
agree,10,30,0.10766635571187926,-3.7124259870776304,-4.795608176163155,-3.7050781471835115
agree,11,18,0.3284311262465972,-3.970891070200703,-4.513572231198329,-4.494900126264835
agree,11,19,0.2561152247611525,-4.3432417851096154,-4.549831897148392,-5.005085519661739
agree,11,20,0.33662928819933285,-4.086389163182536,-3.2743972166278406,-4.570505430102348
agree,11,21,0.2244888296581792,-4.1874052710990615,-3.5818573804002054,-4.850607571050631
agree,11,22,0.05422117385278504,-6.747736847033365,-5.769981519807262,-7.0150195078394955
agree,11,23,0.11332822606473754,-6.099457003942633,-4.831976179260047,-6.531807124203691
agree,11,24,0.12782596825295822,-5.457969405864368,-4.562687771249919,-6.101921043957848
agree,11,25,0.14223387025215867,-5.592843270047816,-4.646084653336381,-6.076316534907442
agree,11,26,0.1601315770643981,-5.6512189906051375,-4.651380715937312,-5.958716243371785
agree,11,27,0.0015872890788860543,-9.317142801851734,-8.74804014475665,-10.227963166984843
agree,11,28,0.0025154632167581023,-7.383452171052265,-6.827884224210381,-8.298778515904074
agree,11,29,0.0026729849300938927,-6.653344407623929,-5.965378333864069,-7.61971936221903
agree,11,30,0.012398278355307633,-5.289404027160909,-4.942797050492178,-6.119515932398842
agree,12,18,0.13953977774774712,-3.429559672031814,-4.775330747727572,-4.568470911222312
agree,12,19,0.13974649079108029,-4.011990251725871,-4.957933979686939,-5.430016765353214
agree,12,20,0.29648974349521545,-2.750839581457374,-3.1159703016184706,-4.365924374679133
agree,12,21,0.24172899111773155,-3.0338279872546465,-2.8553471437467812,-4.319346285893685
agree,12,22,0.1540187976321034,-3.1693011702702396,-3.517067938306407,-3.5683253805480035
agree,12,23,0.08810227748936551,-2.7907627101888814,-3.621620579518832,-3.313186989020287
agree,12,24,0.08666790526834066,-2.793312873859217,-3.542488151905558,-3.2589489289794593
agree,12,25,0.08908482898622455,-3.0713774701044643,-3.479100349368548,-3.3183906151343563
agree,12,26,0.04975889841434245,-3.821500520586969,-4.257636350860577,-4.031577417888978
agree,12,27,0.09058453254743845,-4.526993891894501,-4.636639782873335,-4.940378362938267
agree,12,28,0.0936998337056276,-4.856150091696136,-4.798142145736548,-5.308045944941133
agree,12,29,0.1247168470864086,-3.7661102213240856,-3.0368265533444716,-4.337583140985545
agree,12,30,0.13884008561977945,-3.6699698362023967,-2.8886378866652347,-4.110219142946011
agree,13,18,0.09062716873199485,-4.165367009071541,-5.922201554422636,-5.230684531101724
agree,13,19,0.19279318794081052,-4.0983786172868335,-5.77110856444353,-5.207421781726551
agree,13,20,0.12486405371956077,-3.8889205318067765,-5.946778454385069,-4.694291875295015
agree,13,21,0.16456160427006963,-3.338675905212822,-5.582571177194878,-4.144653542154801
agree,13,22,0.39532324059746954,-3.8952525412166352,-4.528855781919369,-3.935061492993499
agree,13,23,0.5397408550382445,-3.218185038857508,-4.113596951839284,-3.469477580614713
agree,13,24,0.5083720619470272,-2.665734683689419,-4.083329221895271,-3.4683996483340462
agree,13,25,0.5085277900593346,-2.6874435159852625,-3.908034364073829,-3.3552967921989216
agree,13,26,0.03940025840611157,-4.8328118437977965,-6.331596607141506,-5.4696586788171935
agree,13,27,0.058367799500857714,-4.197122353930284,-5.553324010396529,-4.858222351498987
agree,13,28,0.25504865800528126,-2.54761761310224,-3.612680921347698,-3.792078829166606
agree,13,29,0.1518360226657784,-3.0338851864966507,-4.069993316894892,-4.276792861110879
agree,13,30,0.004571240374493974,-5.5549739536239695,-7.316111424448966,-6.723435877926195
agree,14,18,0.1887920463971644,-3.873985786118383,-4.267111256486264,-4.244262023765076
agree,14,19,0.2332682179053582,-4.517118209865873,-4.252826910579339,-4.680148787781341
agree,14,20,0.2898296317598916,-4.104587328000551,-3.6746118629907905,-4.2894841750250015
agree,14,21,0.2791288035034041,-4.040026138813539,-4.054886801233363,-4.395790634392063
agree,14,22,0.2402147204333674,-4.482520708674916,-3.4573193791435295,-4.095878074032686
agree,14,23,0.25023578799455065,-4.47747160657158,-3.7207887699062363,-4.2175072458578455
agree,14,24,0.0005099851948045186,-9.397615152162455,-8.723955848135269,-9.270479095040479
agree,14,25,0.0029482632533405144,-8.034768053379182,-7.471327302606034,-8.120068718567042
agree,14,26,0.011765253846777136,-7.924938163309689,-7.372943804261681,-7.867273355942007
agree,14,27,0.017465265735769217,-7.230695553165918,-6.724322293252862,-7.38529766173425
agree,14,28,0.05177516866803233,-6.254004996187312,-5.762064134702843,-6.533771961595853
agree,14,29,0.16639414452386828,-4.474089750856568,-3.9523755628855715,-4.845028835958057
agree,14,30,0.042022791597393014,-4.9508593290232215,-4.561401580606199,-4.959819674243813
agree,15,18,0.20316014310859984,-2.824479614391326,-5.631884939719066,-5.018018337697517
agree,15,19,0.2829553698794945,-1.1708357768672806,-5.289923949033083,-3.809848875130217
agree,15,20,0.2945890697932173,-0.7643296778159999,-4.869050920723914,-3.860203478438863
agree,15,21,0.29971569913103674,-0.9061751629293986,-4.5703366189541335,-3.6242272373951403
agree,15,22,0.1335148904636298,-0.9010892683597022,-4.814533194630695,-3.4079756777088015
agree,15,23,0.1600084762371441,-0.2487779417883353,-5.476724165900624,-3.983879344444487
agree,15,24,0.2105491100069728,-0.3775871518395152,-5.212231291169613,-3.678087476537995
agree,15,25,0.21527843497544635,-0.35266914916173,-5.4114977787065595,-3.8367864004376155
agree,15,26,0.18443085316669497,-0.16102956379285074,-5.844759137082071,-3.696566362202392
agree,15,27,0.1612759407026008,-0.6774150793882552,-5.344461208518854,-3.6880747565948964
agree,15,28,0.09482105116396308,-1.1619838209013786,-4.966093474169892,-4.0972707138285855
agree,15,29,0.023185123890614483,-2.633172978215514,-5.194373876345037,-5.103930792399391
agree,15,30,0.031196153969179085,-3.5480666446095035,-4.851183706137265,-5.516533137016905
agree,16,18,0.3216705416658299,-3.2392288655749075,-4.551856187978529,-3.604778701540273
agree,16,19,0.21996281106062884,-4.4344169773658955,-5.281991436512773,-4.649599045103978
agree,16,20,0.28009568430717724,-3.74012789505728,-4.349382328673822,-3.8916563120841055
